MD,INC,AZ,TVD
130.6,0.21,307.66,130.6
222.8,0.21,306.93,222.8
316.0,0.16,296.29,316.0
409.2,0.06,310.33,409.2
503.3,0.22,111.46,503.3
602.2,0.26,114.89,602.2
693.1,0.29,118.58,693.1
784.8,0.26,116.96,784.8
876.2,0.27,120.93,876.19
968.3,0.21,124.88,968.29
1058.6,0.16,111.21,1058.59
1149.8,0.08,86.52,1149.79
1244.1,0.03,1.64,1244.09
1338.5,0.11,350.3,1338.49
1433.5,0.09,24.03,1433.49
1528.7,0.09,113.42,1528.69
1623.7,0.09,117.36,1623.69
1717.9,0.12,110.91,1717.89
1812.8,0.13,122.7,1812.79
1907.6,0.17,123.94,1907.59
2002.5,0.25,127.54,2002.49
2097.4,0.25,130.95,2097.39
2191.7,0.26,126.63,2191.69
2286.0,0.24,135.11,2285.99
2380.4,0.22,135.17,2380.39
2474.8,0.21,138.34,2474.79
2569.9,0.2,139.1,2569.89
2664.6,0.22,163.77,2664.59
2759.1,0.21,159.98,2759.08
2853.7,0.07,193.49,2853.68
2948.3,0.06,199.57,2948.28
3042.6,0.05,196.44,3042.58
3137.3,0.02,257.81,3137.28
3231.7,0.01,241.38,3231.68
3326.4,0.16,22.44,3326.38
3420.9,0.29,3.64,3420.88
3515.6,0.32,359.66,3515.58
3610.5,0.64,16.2,3610.48
3705.2,0.97,17.47,3705.17
3800.2,0.96,330.84,3800.16
3895.4,1.1,310.44,3895.34
3990.0,1.06,308.99,3989.93
4084.9,1.0,307.4,4084.81
4179.9,0.89,311.43,4179.8
4274.6,0.88,315.27,4274.49
4369.4,1.17,322.93,4369.27
4464.4,1.2,322.54,4464.25
4558.7,0.97,317.85,4558.53
4653.8,0.95,317.17,4653.62
4748.2,0.82,318.53,4748.01
4843.0,0.85,316.59,4842.8
4937.9,0.77,311.0,4937.69
5033.0,0.69,315.63,5032.78
5128.0,0.71,318.11,5127.77
5222.4,0.7,324.97,5222.17
5316.8,0.56,336.61,5316.56
5411.2,0.48,345.54,5410.96
5505.8,0.54,16.24,5505.55
5600.8,0.73,20.9,5600.55
5695.6,0.76,21.41,5695.34
5790.8,0.61,12.3,5790.53
5885.3,0.58,357.35,5885.03
5980.0,0.58,355.76,5979.72
6075.2,0.68,3.37,6074.92
6169.9,0.59,13.32,6169.61
6264.7,0.56,8.18,6264.41
6359.1,1.05,332.22,6358.8
6453.5,1.35,346.11,6453.18
6548.5,1.68,359.17,6548.14
6643.2,2.02,0.98,6642.79
6738.2,2.15,3.65,6737.73
6832.9,1.98,5.33,6832.37
6927.5,1.71,5.19,6926.92
7021.8,1.64,352.51,7021.18
7116.4,1.7,355.41,7115.74
7210.7,1.76,1.15,7210.0
7305.3,1.99,15.58,7304.55
7400.5,2.05,23.03,7399.69
7495.3,1.25,51.42,7494.45
7590.6,0.99,62.5,7589.73
7684.9,0.93,54.81,7684.02
7779.3,0.85,51.6,7778.41
7874.5,0.75,42.35,7873.6
7969.2,0.36,46.56,7968.29
8064.0,0.26,53.72,8063.09
8158.8,0.25,44.99,8157.89
8253.6,0.27,38.16,8252.69
8348.5,0.33,52.81,8347.59
8443.0,0.37,49.81,8442.09
8538.1,0.44,37.09,8537.19
8632.7,0.53,33.01,8631.78
8727.3,0.52,27.5,8726.38
8822.2,0.56,21.79,8821.27
8916.8,0.69,0.79,8915.87
9011.2,0.97,350.6,9010.26
9105.9,0.85,346.72,9104.95
9200.7,0.66,28.14,9199.74
9295.7,0.38,351.26,9294.73
9390.7,0.54,301.32,9389.73
9485.1,0.73,327.59,9484.13
9580.0,1.0,338.17,9579.02
9674.6,1.07,333.15,9673.6
9769.7,1.39,328.55,9768.68
9864.5,1.39,344.27,9863.45
9959.1,1.29,341.32,9958.02
10053.8,1.02,0.84,10052.71
10148.7,1.03,1.08,10147.59
10243.1,0.87,22.28,10241.98
10338.4,1.13,35.57,10337.26
10432.7,1.54,42.26,10431.54
10527.6,1.87,54.31,10526.4
10622.1,1.89,50.47,10620.84
10716.7,1.86,47.35,10715.39
10811.9,1.9,51.12,10810.54
10906.2,2.02,56.98,10904.79
11000.5,2.1,56.49,10999.03
11094.9,2.06,48.53,11093.37
11189.9,2.15,40.34,11188.3
11284.9,2.24,38.53,11283.23
11309.0,2.22,39.33,11307.31
11386.0,2.23,40.93,11384.26
11481.0,2.2,44.75,11479.18
11575.0,9.02,2.89,11572.7
11670.0,18.26,354.68,11664.93
11766.0,31.3,351.26,11751.91
11860.0,44.78,345.83,11825.79
11923.0,45.83,345.56,11870.1
11955.0,49.75,345.38,11891.6
12049.0,63.97,343.14,11942.86
12112.0,72.83,342.82,11966.03
12144.0,73.69,342.85,11975.24
12175.0,76.89,343.65,11983.11
12207.0,80.12,344.66,11989.49
12239.0,82.42,345.63,11994.35
12270.0,85.84,345.96,11997.52
12302.0,89.11,346.53,11998.93
12334.0,89.73,346.82,11999.25
12428.0,89.48,346.72,11999.9
12523.0,89.76,346.61,12000.53
12618.0,91.06,349.46,11999.85
12712.0,92.16,350.43,11997.21
12807.0,92.71,350.24,11993.17
12911.0,93.23,350.74,11987.78
13005.0,92.61,350.86,11982.99
13100.0,91.75,350.6,11979.38
13195.0,90.82,350.26,11977.25
13304.0,91.41,350.45,11975.13
13399.0,93.37,353.63,11971.17
13493.0,93.92,356.56,11965.19
13588.0,91.89,358.77,11960.37
13682.0,92.51,359.8,11956.77
13777.0,93.4,0.48,11951.87
13871.0,90.34,1.88,11948.8
13966.0,90.17,2.19,11948.38
14061.0,91.48,2.23,11947.01
14155.0,91.75,3.07,11944.36
14250.0,91.2,2.58,11941.92
14344.0,90.58,3.03,11940.46
14439.0,90.45,3.33,11939.6
14534.0,92.1,2.49,11937.49
14629.0,92.37,3.1,11933.78
14723.0,92.2,3.6,11930.03
14818.0,92.51,3.54,11926.13
14913.0,92.23,3.61,11922.2
15008.0,92.1,3.76,11918.61
15103.0,91.2,4.38,11915.88
15197.0,89.9,3.83,11914.98
15320.0,89.73,4.57,11915.37
15414.0,90.93,1.81,11914.83
15509.0,91.85,359.36,11912.53
15603.0,91.44,359.19,11909.83
15698.0,90.45,359.07,11908.26
15793.0,90.96,359.52,11907.09
15888.0,90.0,359.35,11906.3
15983.0,91.92,359.64,11904.71
16078.0,93.16,359.6,11900.5
16172.0,94.13,359.66,11894.52
16267.0,95.38,359.69,11886.64
16361.0,94.58,0.15,11878.48
16456.0,93.75,0.58,11871.58
16551.0,93.19,359.87,11865.83
16646.0,92.03,359.49,11861.51
16741.0,92.78,359.57,11857.52
16836.0,91.96,359.71,11853.59
16930.0,91.92,0.01,11850.41
17025.0,92.54,359.84,11846.72
17120.0,93.47,359.63,11841.74
17214.0,92.58,0.22,11836.77
17285.0,92.51,0.44,11833.62
17380.0,92.65,0.53,11829.35
17474.0,91.2,0.37,11826.19
17663.0,91.1,0.22,11822.39
17758.0,91.75,0.3,11820.03
17851.0,92.2,359.88,11816.83
17944.0,91.72,359.54,11813.65
18040.0,91.51,359.41,11810.94
18134.0,91.75,359.44,11808.27
18226.0,91.61,359.19,11805.57
18318.0,91.93,359.46,11802.73
18411.0,90.65,359.99,11800.63
18504.0,89.62,359.91,11800.42
18598.0,88.66,359.05,11801.83
18690.0,91.55,357.65,11801.66
18784.0,91.2,357.27,11799.4
18878.0,92.17,359.23,11796.64
18972.0,92.37,0.22,11792.91
19066.0,92.92,0.33,11788.58
19160.0,92.85,0.77,11783.85
19254.0,92.24,1.98,11779.67
19349.0,92.99,2.8,11775.34
19443.0,92.61,2.18,11770.74
19537.0,92.96,2.73,11766.18
19632.0,92.48,3.1,11761.67
19726.0,93.2,2.27,11757.01
19820.0,92.55,3.97,11752.3
19913.0,92.16,4.11,11748.48
20008.0,91.96,3.42,11745.06
20104.0,91.62,3.66,11742.06
20198.0,90.58,3.67,11740.26
20292.0,89.79,3.44,11739.95
20387.0,89.86,2.58,11740.24
20481.0,91.45,3.56,11739.17
20575.0,93.71,3.69,11734.94
20669.0,94.41,1.37,11728.28
20763.0,94.47,358.64,11721.0
20857.0,95.13,356.92,11713.14
20951.0,96.13,355.29,11703.92
21045.0,96.23,352.94,11693.79
21140.0,94.33,350.73,11685.05
21235.0,91.37,352.07,11680.33
21328.0,91.96,354.4,11677.63
21423.0,92.34,357.39,11674.06
21517.0,92.68,359.61,11669.94
21612.0,92.82,2.47,11665.39
21706.0,91.27,4.04,11662.03
21799.0,90.48,5.77,11660.61
21836.0,90.76,7.37,11660.21
21905.0,90.76,7.37,11659.29
